author_id,created_at,id,lang,public_metrics_like_count,public_metrics_quote_count,public_metrics_reply_count,public_metrics_retweet_count,quoted_id,text
1081761556705300480,2021-05-12 12:10:34+00:00,1392452136416448512,en,1,0,0,0,,I want to publicly apologize for watching Ninja’s stream as much as I have. The retroactive cringe has been building and has finally peaked. https://t.co/3nZeCS9W3I
951353538851950594,2021-05-11 17:35:54+00:00,1392171622233251844,en,32,0,9,4,1.3920769655076536e+18,"$SHIBM went parabolic. Congrats to all

Also, if you are like this guy Ferry where you buy at $.10, it dumped to $.08 and blame Infinity Gainz, then simply gtfo of DeFi. 

Now that it is mooning, they stay silent. If you see this tweet, I want you to publicly apologize to me. https://t.co/1eak9dtYLT https://t.co/QpZdD5ej9j"
23820011,2021-05-07 14:43:09+00:00,1390678594448510976,en,4,0,1,0,1.3906780449107558e+18,Last episode for this wonderful season! Also I want to publicly apologize to @caromccallum &amp; @SchmitstrS  for how intense I got about who should play Ami Cusack 😳 #Survivor https://t.co/w3uEXlLSOO
21659640,2021-05-04 21:06:01+00:00,1389687782533222401,en,6,1,0,0,1.3895717425705902e+18,"I want to publicly apologize to @mistereman69 for typing ""Bill Mar was right."" In the chat of your video game Twitch stream. https://t.co/Ly9ud86gI8"
281388375,2021-05-04 14:32:08+00:00,1389588659763126276,en,20,1,2,1,1.3893919671724032e+18,"“It was not my intention that it be public. I didn't expect that it would be, so I want to apologize if any members of staff were offended by them.”

You said it publicly. What the hell are you talking about? https://t.co/L1RKbotVqV"
904411652778590209,2021-05-03 08:52:09+00:00,1389140713212944385,en,1,0,1,0,1.3891002906164347e+18,"I've been going over and over this all night, I still believe I kicked out in time.

But that's not a justification for what happened after the match, and I want to publicly apologize with @carlisleeeeeee for my actions. https://t.co/hGuzgFZfku"
1156444035420233729,2021-05-01 23:41:10+00:00,1388639664777613314,en,2,0,1,0,1.3886302099230147e+18,"i just want to publicly apologize for this. i already apologized privately with stacey when she called me out. i don’t pay much attention to the stuff i like on the tl so it was a mistake, i should be more careful next time https://t.co/8hsvt6fX7t"
3212092602,2021-04-29 15:22:37+00:00,1387789425199955971,en,2,0,1,0,1.3877865846244106e+18,guys i want to publicly apologize to @fatpussyologist for not posting her incredible picture https://t.co/2TGSapZURN https://t.co/9JIlIK8G1g
4636806313,2021-04-28 07:59:29+00:00,1387315519598907398,en,0,0,0,0,1.3872977657560474e+18,I want @ughphoenix7 to come out and publicly apologize to @BUSANBOY___TWT &amp; @comma_bts since you enabled this whole issue as bora minions &amp; enabled harassing innocent Jimin fans who were trying to protect Jimin. Every fake OT7 &amp; bora minion esp YOU now is looking like A FOOL!!! https://t.co/romypZ6HlJ
994993147896774656,2021-04-28 06:48:56+00:00,1387297765756047368,en,44,1,11,24,,I want @ughphoenix7 to come out and publicly apologize to @BUSANBOY___TWT &amp; @comma_bts since you enabled this whole issue as bora minions &amp; enabled harassing innocent Jimin fans who were trying to protect Jimin. Every fake OT7 &amp; bora minion esp YOU now is looking like A FOOL!!! https://t.co/CJHfVN2EMK https://t.co/idIfwFcsXI
481649859,2021-04-27 12:13:03+00:00,1387016945187254272,en,0,0,1,0,1.3870101995132887e+18,"I believe everyone have their own borderline, either it’s on social media or reality. I apologize for saying this. But, I’m sure each person has their own privacy they don’t want to share publicly just like that. And this is mine. Please respect it by not crossing the line. 🙏 https://t.co/daAqLqeDEV"
318210911,2021-04-26 17:01:02+00:00,1386727030293729283,en,41,1,1,5,1.386694353091842e+18,I want to publicly apologize to @NFLDraftBites for saying that he doesn’t have a clue what he’s talking about on @sportsDen_live. He was obviously correct in saying Trevor wouldn’t get any endorsement deals in Jax....Don’t think I’ve ever seen anyone be so wrong 😂😂😂 https://t.co/E6NEvAFZXf
2591307505,2021-04-23 02:08:07+00:00,1385415156285394950,en,4,0,1,0,1.3854106848427008e+18,I want to publicly apologize for doing that https://t.co/qh7HdepmSw https://t.co/cIydI9Imme
1032650456466694145,2021-04-19 17:50:01+00:00,1384202640741998602,en,8,0,6,0,1.3842024433202954e+18,i want to publicly apologize for what happened that day https://t.co/UEedxan4fa
323618350,2021-04-17 05:34:44+00:00,1383292824104280066,en,0,0,0,0,1.3832844544419635e+18,"Exactly what I thought. Publicly play victim, but when caught in a lie you want to “apologize through attorney.” Shows how many people are out for dollars. Liars. Phonies. https://t.co/9UiAcxfW1q"
416463945,2021-04-16 15:35:23+00:00,1383081595649818626,en,0,0,0,0,1.38307797176696e+18,"I want to publicly apologize for this tweet. I was wrong. I was young and naive. Now, 12 minutes later, I know for a fact that we can’t go through it. Please respect this time as I do some self learning and mourning. I’ll try to be better once finals arrive https://t.co/kpCDlTHf1I"
552676395,2021-04-15 06:47:19+00:00,1382586315032641536,en,0,0,0,0,1.382437822032937e+18,"1. She had a misconception about be, went ahead to embarrass me publicly, later figured out she's wrong but was too proud to apologize

2. He didn't trust me (out of his own insecurity), so he lied to test me &amp; i figured out

These two traits are 🚩 to how I want my circle to be https://t.co/aNiwBPFNpL"
1135733127123484673,2021-04-15 02:37:52+00:00,1382523538620481538,en,0,1,0,0,1.3823717050378076e+18,I want to publicly apologize for not appreciating how fine maxwell Sheffield was until right now https://t.co/531Jnr4D3A
501220156,2021-04-14 09:37:57+00:00,1382266871068684291,en,0,0,0,0,1.382041802115408e+18,"We rock with you Unc but on this one you wrong. You can’t drag the man publicly but want to apologize privately. He’s not childish for addressing you publicly since your statements were public. All you had to say was “My bad KD, I didn’t check” you not losing your job for that. https://t.co/JtwSkY6Ngv"
990453273067859969,2021-04-13 22:28:37+00:00,1382098426104455169,en,19,0,1,0,1.3820352609095803e+18,I want to publicly apologize for what I did to Alexa. There was zero excuse. My behavior was unacceptable. 1. I should have NEVER dragged someone the way I dragged her. 2. I should have especially never done that to a stranger. 3. I should have never stepped on a victim https://t.co/YZEaucOu7c
1233408800356491264,2021-04-12 22:07:20+00:00,1381730683815612417,en,3,0,0,0,,"To the man down astronomically that like this comment that made it pop on my feed, i want u to publicly apologize https://t.co/6NLKoQasIL"
1376530843649286149,2021-04-11 15:38:29+00:00,1381270436428800003,en,0,0,0,0,1.381072898685829e+18,"I accept she must apologize to  Rohingas and other ethnic groups too.We, Myanmar ppl will also do it.But she's now in jail &amp; can't apologize publicly not because she don't want to but because she's watched details by terrorists.
#Apr11Coup
#WhatsHappeninglnMyanmar https://t.co/j1X6ZsfUbE"
76261109,2021-04-11 10:22:10+00:00,1381190834595360769,en,2,0,1,1,1.38118832710212e+18,"at this point I don’t know what to believe anymore. I think #KimJungHyun needs to clarify asap, I want to know what was the real reason. If it’s because of his attitude or mental health or his girlfriend, need to apologize publicly to Seohyun as well https://t.co/m9G8zJYS8H"
941915182455910400,2021-04-06 15:23:06+00:00,1379454626592743428,en,19,0,3,0,1.3794533691447747e+18,I want to publicly apologize to everyone for not pricing this card accordingly due to his injury that happened ten hours after the original post. 😂😂😂 https://t.co/PeLyA2T1id
1213311888068493312,2021-04-06 00:29:43+00:00,1379229799105843200,en,8,0,0,0,1.379229113442046e+18,I want to publicly apologize for the harsh words I have said today. I did not think about how it would affect Reese when I should have. I will work to better myself in the future. https://t.co/8TN9nrMY16
1034131431512072192,2021-04-04 11:39:03+00:00,1378673464790413312,en,112,0,6,19,1.3785064651583037e+18,"I so want to maintain a stance of ""Back the Blue"", but after witnessing this &amp; other overreaches by those in @TPSOperations, and @OPP_WR  it has worn wafer thin. Certainly TRUST is gone.
Cops need to publicly apologize for this tyranny before I perhaps could change my view. https://t.co/qVZiqzfzyj"
4750191864,2021-03-31 06:32:08+00:00,1377146675035140104,en,1,0,1,0,8.991854485552374e+17,i want to publicly apologize for this i love mark now https://t.co/PuG1R6qbXI
1208871098181271552,2021-03-26 19:40:56+00:00,1375533245303910400,en,11,0,0,2,1.3755327179667292e+18,"And being put in a position where I possibly contributed to the pain of folks he’s harmed through my proximity to him deeply saddens &amp; angers me

And I want to publicly apologize if your awareness of my closeness to him at a time (online or otherwise) caused any harm or distress https://t.co/q5frxG5kIk"
980528527425630209,2021-03-25 15:46:08+00:00,1375111769954398213,en,57,1,8,1,1.3751052782790492e+18,"Retweeting this on it's own because it was 100% a shit way to come into the topic and a shittier way to have a first interaction with someone. 

@ZombaeKillz I just want to publicly apologize for singling you out and thank the people in your community that were kind enough to https://t.co/kWCGByhmp7"
294984113,2021-03-23 17:44:31+00:00,1374416782966935557,en,3,0,0,1,1.3741223968363151e+18,"To all my brethren out there, if you cheat, don’t publicly apologize to try to save face, that poor woman already been through a lot , and now you got her on social media witta bonnet, might as well throw a clown face on her as well, I want better for our QUEENS! https://t.co/HHSkPq3f8z"
1060632633753911304,2021-03-21 18:53:33+00:00,1373709380298883074,en,8,0,0,1,1.373706519875887e+18,"i want to publicly apologize, this tweet is entirely my fault https://t.co/jwoSeJ4SKw"
2292465028,2021-03-20 18:44:28+00:00,1373344709054173185,en,6,0,0,0,1.3733247020815442e+18,I stg I never want my dude to publicly apologize to me . That shit so embarrassing. If you decide you wanna embarrass me to the public stand on that shit . https://t.co/jMdP96MS9N
1060360467519078403,2021-03-15 20:19:24+00:00,1371556658644717568,en,0,0,0,0,1.371554149041533e+18,"I just really want all of this absolute nonsense to stop right now as there’s still some time left in this current pandemic.  And also, whoever out there that had put that racist graffiti on those windows needs to come forward and publicly apologize immediately. https://t.co/5Xzqj9HqvS"
425509564,2021-03-14 18:13:40+00:00,1371162630778421252,en,2,0,2,0,1.3711572954182492e+18,I want to publicly apologize for cheering for @WestwoodLee I sent a tweet out supporting him and then shortly after that he does this. The #KellyKissOfDeath strikes again. Sorry Lee that ones on me. https://t.co/dL8MHSqtiN https://t.co/QURqSkUzej
4800463693,2021-03-14 02:22:49+00:00,1370923338776801280,en,42,2,13,4,1.3709145119606006e+18,"Didn't want to call me a furf*g. Like I am still waiting for that to be addressed cause if you ain't bi kinda of sus. Also are you gonna apologize publicly to the peep's you said a slurs about!? 🤨

Like from what I know you didn't even fully write this 😐
https://t.co/Y0PcvNESiA https://t.co/KbU0SG7ALL"
446829727,2021-03-13 16:30:40+00:00,1370774322198020099,en,1,0,0,0,,"I publicly will apologize because i was wrong asb for saying that on the media i was hurt and angry about other shit. i don’t want to ever make you feel disrespected or less like a man. You don’t have to accept my apology, I still mean it tho. 💜 https://t.co/ziqJGNBJp4"
178018221,2021-03-11 17:44:37+00:00,1370068153368207378,en,4,0,0,1,,"This is really tiring, I dont understand how u dont exhaust yourself. They always want to bring the ex-singer into everything Justin does. If we're going to ask Justin for a public apology, we should ask that she also publicly apologize to him and to all the women SHE denigrated. https://t.co/zfXrNRBvPm"
49876024,2021-03-11 16:56:42+00:00,1370056097759825924,en,10,0,1,0,9.1820472515729e+17,want to publicly apologize to my dad for this joke because i did just enthusiastically buy zip off pants https://t.co/CxnrnoXXbx
